Food,Categlory,ID,Carbs,Calories,Protien,Fat,Measure
MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",1087,5.56,41,3.96,0.25,1 cup
MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",1088,4.79,40,3.31,0.88,1 cup
MILK,"MILK,LOW SODIUM,FLUID",1089,4.46,61,3.1,3.46,1 cup
MILK,"MILK,DRY,WHOLE",1090,38.42,496,26.32,26.71,1 cup
MILK,"MILK,DRY,NONFAT,REG,WO/ VIT A",1091,51.98,362,36.16,0.77,1 cup
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",1092,52.19,358,35.1,0.72,1 cup
MILK,"MILK,DRY,NONFAT,CA RED",1093,51.8,354,35.5,0.2,1 oz
MILK,"MILK,BUTTERMILK,DRIED",1094,49,387,34.3,5.78,1 cup
MILK,"MILK,CND,COND,SWTND",1095,54.4,321,7.91,8.7,1 cup
MILK,"MILK,CND,EVAP,WO/ VIT A",1096,10.04,134,6.81,7.56,1 cup
MILK,"MILK,CND,EVAP,NONFAT",1097,11.35,78,7.55,0.2,1 cup
MILK,"MILK,CHOC,FLUID,COMM,",1102,10.34,83,3.17,3.39,1 cup
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",1103,12.13,76,2.99,1.9,1 cup
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",1104,10.44,63,3.24,1,1 cup
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",1105,10.63,77,3.52,2.33,1 cup
MILK,"MILK,GOAT,FLUID",1106,4.45,69,3.56,4.14,1 cup
MILK,"MILK,HUMAN,MATURE,FLUID",1107,6.89,70,1.03,4.38,1 cup
MILK,"MILK,INDIAN BUFFALO,FLUID",1108,5.18,97,3.75,6.89,1 cup
MILK,"MILK,SHEEP,FLUID",1109,5.36,108,5.98,7,1 cup
MILK SHAKES,"MILK SHAKES,THICK CHOC",1110,21.15,119,3.05,2.7,1 fl oz
MILK SHAKES,"MILK SHAKES,THICK VANILLA",1111,17.75,112,3.86,3.03,1 fl oz
WHEY,"WHEY,ACID,FLUID",1112,5.12,24,0.76,0.09,1 cup
WHEY,"WHEY,ACID,DRIED",1113,73.45,339,11.73,0.54,1 cup
WHEY,"WHEY,SWEET,FLUID",1114,5.14,27,0.85,0.36,1 cup
WHEY,"WHEY,SWEET,DRIED",1115,74.46,353,12.93,1.07,1 cup
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",1116,4.66,61,3.47,3.25,"1 cup,  (8 fl oz)"
YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",1117,7.04,63,5.25,1.55,"1 cup,  (8 fl oz)"
YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",1118,7.68,56,5.73,0.18,"1 cup,  (8 fl oz)"
YOGURT,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",1119,13.8,85,4.93,1.25,"1 cup,  (8 fl oz)"
YOGURT,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",1120,18.64,99,3.98,1.15,"1 cup,  (8 fl oz)"
YOGURT,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",1121,19.05,102,4.37,1.08,"1 cup,  (8 fl oz)"
YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",1122,18.6,105,4.86,1.41,"1 container,  (8 oz)"
EGG,"EGG,WHOLE,RAW,FRESH",1123,0.77,143,12.58,9.94,"1 cup,  (4.86 large eggs)"
EGG,"EGG,WHITE,RAW,FRESH",1124,0.73,48,10.9,0.17,1 cup
EGG,"EGG,YOLK,RAW,FRSH",1125,3.59,317,15.86,26.54,1 cup
EGG,"EGG,YOLK,RAW,FROZEN",1126,1.15,303,15.5,25.6,.5 lb
EGG,"EGG,YOLK,RAW,FRZ,SUGARED",1127,10.8,307,13.8,22.75,.5 lb
EGG,"EGG,WHL,CKD,FRIED",1128,0.88,196,13.63,15.31,1 large
EGG,"EGG,WHL,CKD,HARD-BOILED",1129,1.12,155,12.58,10.61,"1 cup, chopped"
EGG,"EGG,WHOLE,COOKED,OMELET",1130,0.68,157,10.59,12.03,1 tbsp
EGG,"EGG,WHL,CKD,POACHED",1131,0.76,142,12.53,9.9,1 large
EGG,"EGG,WHL,CKD,SCRMBLD",1132,2.2,167,11.09,12.21,1 cup
EGG,"EGG,WHOLE,DRIED",1133,4.95,594,47.35,40.95,"1 cup,  sifted"
